bygning_navn	eiendom	objekt_type	objekt_tekst	AddressLine1	Anleggstype	Antall armaturer	Antall dyser	Antall flasker / boks	BasedOn	Bruksformål	CertificateNumber	Contact	Date	DeliveryDate	Dimensjon	DoneBy	Email	EquipmentComment	Etasje	Fabrikat	Finnes det loggbok	Flasker â€“ produksjonsår	Flasketrykk	Georef	InstallationID	Installations nr	Instruks	KgL	LastEquipmentInstallationNumber	Legionellagjennomspyling gjennomført	Lengde	Leverandør Objekt ID	Merknader	Navn	Neste kontroll	Overflate	Place	Plassering	ProductID	Produksjonsår	Produsent	PropertyID	Regelverk beregning	Rom nummer	RomNr	Romnummer	Sign	Siste kontroll	Skilt	Slange	Slokkemiddel	Status funksjoner	Status utstyr	StatusAreas	StatusFences	StatusVegetation	Stralerør	Telephone	Temperatur kaldtvann	Temperatur varmtvann	Tid (minutter)	Tilforsel	Trommel	Trykkprøve	Type dusj	Type slokkemiddel	Typebetegnelse	TypeID	Vann	Vedlikeholdstype	Vendor	VendorId	Volum beregnet m2	Volum målt m3	ZipCode	
Mortensrud skole. Bygg 9	Mortensrud skole	BS	Brannslanger												3/4tomme				01								X				25	003009928252	Mangler skilt over brannslange skap.		2022-04-06			Garderobe bygg 17-18		1997-04-20				01				2021-04-06	D	X							X					X	X	X					X							
Mortensrud skole. Paviljong Uniteam	Mortensrud skole	BS	Brannslanger												3/4tomme				02								X				25	003009928255	Byttet fotplata på Trommel pga lekkasje.		2022-04-07			Klasserom venstre side		2016-04-20				02				2021-04-07	X	X							X					X	X	X					X							
Møllergata skole. Bygning A	Møllergata skole	BS	Brannslanger												3/4tomme												D				25	002999946920	Gammel trommel må byttes av rørlegger.		2022-03-26			03 KORRIDOR VED HEIS		1990-04-21								2021-03-26	D	D							D					D	D	D					D							
Møllergata skole. Bygning B	Møllergata skole	BS	Brannslanger												3/4tomme												X				25	002999946934			2022-03-26			03 KORRIDOR VED 322		2013-04-21								2021-03-26	X	X							X					X	X	X					X							
Møllergata skole. Bygning C	Møllergata skole	BS	Brannslanger												3/4tomme												D				25	002999946954	Gammel trommel må byttes av rørlegger.		2022-03-29			U TRAPP VED HOVED TAVLE		1990-04-22								2021-03-29	D	D							D					D	D	D					D							
Møllergata skole. Bygning D	Møllergata skole	BS	Brannslanger												3/4tomme												X				25	002999946892			2022-03-29			02 MUSEUM		1999-04-22								2021-03-29	X	X							X					X	X	X					X							
Nordberg skole	Nordberg skole	BS	Brannslanger												3/4tomme												X				25	003009929068			2022-04-03			03 Korridor ved kopirom		1997-04-03								1997-04-03	X	X							X					X	X	X					X							
Nordpolen skole. Gymbygning	Nordpolen skole	BS	Brannslanger												3/4tomme				02								X				30	002999928842			2022-09-01			Gymsalen		2011-09-26				02				2021-09-01	X	X							X					X	X	X					X							
Nordpolen skole. Hovedbygning	Nordpolen skole	BS	Brannslanger												3/4tomme				04								X				25	500000019963			2022-09-01			V\heis u1133		2020-08-06				11				2021-09-01	X	X							X					X	X	X					X							
Nordstrand skole. Bygg B	Nordstrand skole	BS	Brannslanger												3/4tomme				04								X				25	002999932231			2022-04-06			korridor v/inngang		1999-03-02				19				2021-04-06	X	X							X					X	X	X					X							
Nordstrand skole. Hovedbygning A	Nordstrand skole	BS	Brannslanger												3/4tomme				Kj								X				25	002999932240			2022-04-06			korridor v/klasserom 3		1998-03-02				10				2021-04-06	X	X							X					X	X	X					X							
Nordtvet skole. Bygg 1	Nordtvet skole	BS	Brannslanger												3/4tomme												X				25	500000020039	Mangler skilt over trommel og 1 stk skilt venstre pil slangtrommel		2022-08-24			02 v mat&helse		2003-08-24								2021-08-24	X	X							X					X	X	X					X							
Nordtvet skole. Bygg 2	Nordtvet skole	BS	Brannslanger												3/4tomme												X				25	002999938876	Mangler skilt over trommel		2022-08-24			01 bygg2 garderobe		2002-04-23								2021-08-24	D	X							X					X	X	X					X							
Nordtvet skole. Bygg 3	Nordtvet skole	BS	Brannslanger												3/4tomme												X				30	500000020038	Lagt inn på feil bygg skal på hovedbygningen		2022-08-24			02 korridor		2003-04-23								2021-08-24	X	X							X					X	X	X					X							
Nordvoll skole. Hovedbygning	Nordvoll skole	BS	Brannslanger												3/4tomme				01								X				30	500000023977			2022-10-08			Korridor v hovedinngangen		2020-09-08				12				2021-10-08	X	X							X					X	X	X					X							
Nordvoll skole. Superkube	Nordvoll skole	BS	Brannslanger												3/4tomme				02								X				30	002999932471			2022-10-18			Base I garderobe  lærere 104 v heis		2014-11-26				02				2021-10-18	X	X							X					X	X	X					X							
Nordvoll skole. Tilbygg-97	Nordvoll skole	BS	Brannslanger												3/4tomme				02								X				25	002999932483			2022-10-08			Ventilasjonrom		1997-11-26				04				2021-10-08	X	X							X					X	X	X					X							
Nydalen videregående skole	Nydalen videregående skole	BS	Brannslanger												3/4tomme				U10								X				30	002999937677			2022-09-14			ved trapp		2010-04-24				3				2021-09-14	X	X							X					X	X	X					X							
Oslo handelsgymnasium. Gymbygning	Oslo handelsgymnasium	BS	Brannslanger												3/4tomme												D				25	002999930446	Gammel trommel fra 1970.må byttes av rørlegger.		2022-11-17			K1 Trapp sal B V tavle		1970-11-22								2021-11-17	D	D							D					D	D	D					D							
Oslo handelsgymnasium. Hovedbygning	Oslo handelsgymnasium	BS	Brannslanger												3/4tomme				05								X				25	002999930496	SKILTES.		2022-11-17			Korridor V 520		1997-11-22				07				2021-11-17	X	X							X					X	X	X					X							
Oslo VO Rosenhof avd. Dynekilgata	Oslo VO Rosenhof avd. Dynekilgata	BS	Brannslanger												3/4tomme				04								X				25	002999929984			2022-11-04			v/resepsjonen		1999-01-01				07				2021-11-04	X	X							X					X	X	X					X							
Oslo VO Skullerud	Oslo VO Skullerud	BS	Brannslanger												3/4tomme				0U								X				25	500000005901	Lekker i trommel		2022-03-31			korridor v/grupperom 3055 S bygg		2016-01-14				23				2021-03-31	X	X							X					X	X	X					X							
Prinsdal skole. Aktivitetsskole + håndverk	Prinsdal skole	BS	Brannslanger												3/4tomme				01								X				30	003009928189			2022-04-13			Stort samling rom		2010-03-31				02				2021-04-13	X	X							X					X	X	X					X							
Prinsdal skole. Gamle Bygget	Prinsdal skole	BS	Brannslanger												3/4tomme				02								X				25	003009928186	Defekt stråle rør må byttes 1 toms		2022-04-13			Ytre gang ved inng H		2011-03-31				03				2021-04-13	X	X							X					X	X	X					X							
Prinsdal skole. Gym. bygning	Prinsdal skole	BS	Brannslanger												3/4tomme				U01								X				25	003009928176	Strålende går lings og må byttes til ny type 3/4		2022-04-13			Ytre gang ved inngang M		2003-03-30				03				2021-04-13	X	X							X					X	X	X					X							
Prinsdal skole. Hovedbygg  A (3)	Prinsdal skole	BS	Brannslanger												3/4tomme				U01								X				25	002999933099	Mangler plogskilt over skap		2022-04-13			Rom bak Tavle Sløydrom		2019-03-30				13				2021-04-13	X	X							X					X	X	X					X							
Rommen idrettshall	Rommen idrettshall	BS	Brannslanger												3/4tomme												X				25	002999935340			2022-04-15			01 Korridor flerbrukshall ved 067		2009-01-23								2021-04-15	X	X							X					X	X	X					X							
Rommen skole. Kultursal	Rommen skole	BS	Brannslanger												3/4tomme												X				25	002999935334			2022-04-15			Inng ved scene		2009-01-23								2021-04-15	X	X							X					X	X	X					X							
Rommen skole. Skole og kultursenter	Rommen skole	BS	Brannslanger												3/4tomme												X				25	002999935360	Må skiltes.		2022-04-15			02 Naturfag omr ved kunst og håndverk		2009-01-23								2021-04-15	X	X							X					X	X	X					X							
Romsås idrettshall	Romsås idrettshall	BS	Brannslanger												3/4tomme				01								X				25	002999940747			2022-04-26			Gymsal v/ventilasjonsrom		2005-01-01				03				2021-04-29	X	X							X					X	X	X					X							
Rosenholm skole. Adminbygg 2016	Rosenholm skole	BS	Brannslanger												3/4tomme												X				30	002999928880			2022-08-31			Adm bygg 0201 Korridor ved rom 20220		2018-10-03								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Aktivitetsskolen	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928893			2022-08-31			Aks 0101 Gang garderobe		2002-10-03								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 1	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928861			2022-08-31			Bygg 1 0101 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 10	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928869			2022-08-31			Bygg 10 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 11/12	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928871			2022-08-31			Bygg 12 0102 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 13	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928876			2022-08-31			Bygg 13 0101 Gang garderobe		2002-10-03								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 14/15	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928878			2022-08-31			Bygg 15 0102 Gang garderobe		2002-10-03								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 2	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928860			2022-08-31			Bygg 2 0101 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 3	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928862			2022-08-31			Bygg 3 0101 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 4/5	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928864			2022-08-31			Bygg 5 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 6	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928865			2022-08-31			Bygg 6 0101 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 7	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928866			2022-08-31			Bygg 7 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 8	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928867			2022-08-31			Bygg 8 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Klassehus 9	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928868			2022-08-31			Bygg 9 Gang garderobe		2002-10-02								2021-08-31	X	X							X					X	X	X					X							
Rosenholm skole. Rosenholmhallen	Rosenholm skole	BS	Brannslanger												3/4tomme												X				25	002999928888	Må skiftes		2022-08-31			GYM bygning 0101 Gymsalen		1994-10-03								2021-08-31	X	X							X					X	X	X					X							
Rødtvet skole. Hovedbygning	Rødtvet skole	BS	Brannslanger												3/4tomme				G								X				30	002999940802	Strålerøret må byttes, kan ikke åpnes		2022-04-20			9 korridor v/G209		2009-01-01				02				2021-04-20	X	X							X					X	X	X					X							
Rødtvet skole. Sandåsveien barnehage	Rødtvet skole	BS	Brannslanger												3/4tomme				01								X				25	002999935833			2022-04-21			Stjerna, i korridor		2010-01-01				04				2021-04-21	X	X							X					X	X	X					X							
Rødtvet skole. Superkube	Rødtvet skole	BS	Brannslanger												3/4tomme				03								X				25	002999940775			2022-04-20			Korridor v/S 01.36		2020-01-01				05				2021-04-20	X	X							X					X	X	X					X							
Sedsvoll skole. Sedsvoll 3. Internatbygg	Sedsvoll skole	BS	Brannslanger												3/4tomme				02								X				25	002999932956			2022-09-21			korridor vest v rom 1		1997-11-02				06				2021-09-21	X	X							X					X	X	X					X							
Seterbråten skole. Admin. Bygg 2	Seterbråten skole	BS	Brannslanger												3/4tomme				02								X				25	804930779667	Deffekt strålerør som ikke lot seg opne		2022-10-20			bygg 2 trapp til Administrasjon v heis		1996-10-15				06				2021-10-20	X	X							X					X	X	X					X							
Seterbråten skole. Bygg 1	Seterbråten skole	BS	Brannslanger												3/4tomme				01								X				25	804930779636			2022-10-20			bygg 1 inngang		1987-01-01				01				2021-10-20	X	X							X					X	X	X					X							
Seterbråten skole. Bygg 3	Seterbråten skole	BS	Brannslanger												3/4tomme				02								X				30	804930779841			2022-10-20			U02 bygg 3 v ventilasjon rom og heis		1998-01-01				13				2021-10-20	X	X							X					X	X	X					X							
Sinsen skole	Sinsen skole	BS	Brannslanger												3/4tomme				03								X				30	804930217480	Mangler skilt		2022-09-10			v/resepsjon		2010-01-01				12				2021-09-10	X	X							X					X	X	X					X							
Skjønnhaug skole. Akt.skolen paviljong	Skjønnhaug skole	BS	Brannslanger												3/4tomme				01								X				25	002999938913	Lekker i navet + Gammelt skilt (150706 + 395352)		2022-04-06			SFO garderobe v 1&2 trinn		1996-04-21				02				2021-04-06	D	X							X					X	X	X					X							
Skjønnhaug skole. Bygning A	Skjønnhaug skole	BS	Brannslanger												3/4tomme				A0								X				25	002999938922	Gammelt skilt. Må byttes(395352)		2022-04-06			venterom  helsesøster		1998-04-21				10				2021-04-06	X	X							X					X	X	X					X							
Skjønnhaug skole. Gymbygning (C)	Skjønnhaug skole	BS	Brannslanger												3/4tomme				C0								X				25	002999938916			2022-04-06			guttegarderobe gymsal		2013-04-21				10				2021-04-06	X	X							X					X	X	X					X							
Skjønnhaug skole. Moelven paviljong -99	Skjønnhaug skole	BS	Brannslanger												3/4tomme				02								X				25	002999938915	Defekt strålerør. Må skiltes(395352)		2022-04-06			Paviljong v hovedinngang		1998-04-21				01				2021-04-06	X	X							X					X	X	X					X							
Skøyen idrettshall	Skøyen idrettshall	BS	Brannslanger												3/4tomme				01								X				25	002999930111			2022-08-27			Idrettshall V trapp		1998-10-11				22				2021-08-27	X	X							X					X	X	X					X							
Skøyen idrettshall. Lager	Skøyen idrettshall	BS	Brannslanger												3/4tomme				03								X				25	003009929647			2022-08-27			Bygg G ventilasjon tak		1998-09-26				09				2021-08-27	X	X							X					X	X	X					X							
Skøyen skole. Hovedbygning	Skøyen skole	BS	Brannslanger												3/4tomme				03								X				25	003009929653			2022-08-27			Bygg C tekstil		1998-09-26				09				2021-08-27	X	X							X					X	X	X					X							
Skøyen skole. Superkube	Skøyen skole	BS	Brannslanger												3/4tomme				02								X				25	003009929658			2022-08-27			Bikuben korridor v vvs		2011-10-11				18				2021-08-27	X	X							X					X	X	X					X							
Sofienberg Bygg C Språksenteret	Sofienberg Bygg C Språksenteret	BS	Brannslanger												3/4tomme				U10								X				25	002999938692	Må skiltes(395352) og bytte defekt dørlås		2022-04-21			teknisk rom loft v vask		2019-04-23				3				2021-04-21	X	X							X					X	X	X					X							
Sofienberg ungdomsskole. Bygg A	Sofienberg ungdomsskole	BS	Brannslanger												3/4tomme				U20								X				30	002999938725			2022-04-20			ventilasjonsrom 440 loft		2014-04-24				4				2021-04-20	X	X							X					X	X	X					X							
Sofienberg ungdomsskole. Bygg B	Sofienberg ungdomsskole	BS	Brannslanger												3/4tomme				05								X				30	002999938705			2022-04-21			ventilasjonsrom 502 v inngang		2014-04-23				05				2021-04-21	X	X							X					X	X	X					X							
Sofienberg ungdomsskole. Lager	Sofienberg ungdomsskole	BS	Brannslanger												3/4tomme				02								X				30	002999938706			2022-04-20			Vestibyle v vindu		2014-04-23				01				2021-04-20	X	X							X					X	X	X					X							
Sollerudstranda skole. Bygg 1. Maritim avd.	Sollerudstranda skole	BS	Brannslanger												3/4tomme												X				25	002999918328			2022-10-13			01 VENTILASJON		2009-10-02								2021-10-13	X	X							X					X	X	X					X							
Sollerudstranda skole. Bygg 12. Hovedbygg Frantzef	Sollerudstranda skole	BS	Brannslanger												3/4tomme												X				25	02999918276			2022-10-13			BYGG 10 GARASJE		2020-09-07								2021-10-13	X	X							X					X	X	X					X							
Sollerudstranda skole. Bygg 13. Kystkult. Senter	Sollerudstranda skole	BS	Brannslanger												3/4tomme												X				25	002999918298	Må skiltes		2022-10-13			BYGG 1301. SNEKKER		2005-10-02								2021-10-13	X	X							X					X	X	X					X							
Sollerudstranda skole. Bygg 2. Dyrafjell	Sollerudstranda skole	BS	Brannslanger												3/4tomme												D				25	002999918345	Lekkasje i tilførselsslange		2022-10-13			01 VERKSTED		2009-10-02								2021-10-13	D	D							D					D	D	D					D							
Sollerudstranda skole. Bygg 3. Maritim avd.	Sollerudstranda skole	BS	Brannslanger												3/4tomme												X				25	002999918315			2022-10-13			01 VERKSTED		2009-10-02								2021-10-13	X	X							X					X	X	X					X							
Sollerudstranda skole. Bygg 4. Maritim avd.	Sollerudstranda skole	BS	Brannslanger												3/4tomme												D				25	002999918314	Strålende må byttes		2022-10-13			01 VAKTROM		1994-10-02								2021-10-13	D	D							D					D	D	D					D							
Stasjonsfjellet skole. Bygg A, B, C	Stasjonsfjellet skole	BS	Brannslanger												3/4tomme												X				30	002999946505	Mangler skilt.		2022-03-26			C U. etg. V/tilfluktsrom.		2020-04-27								2021-03-26	X	X							X					X	X	X					X							
Stasjonsfjellet skole. Bygg D	Stasjonsfjellet skole	BS	Brannslanger												3/4tomme				01								X				25	002999940847			2022-03-26			v/inngang		2013-01-01				03				2021-03-26	X	X							X					X	X	X					X							
Stovner skole. Hovedbygning.	Stovner skole	BS	Brannslanger												3/4tomme				M0								X				25	002999936450	Må skiltes brannslange innenfor		2022-04-09			Korridor ved møterom		2009-03-25				08				2021-04-09	X	X							X					X	X	X					X							
Svendstuen skole. Hovedbygg	Svendstuen skole	BS	Brannslanger												3/4tomme				05								X				30	500000005799	Ikke funnet		2022-03-25			Trapp V hovedinngang		1997-03-24				09				2021-03-25	X	X							X					X	X	X					X							
Svendstuen skole. Hytta	Svendstuen skole	BS	Brannslanger												1tomme				01								D				25	002999920302	Lekkasje i trommel		2022-03-25			Felles V helsesøster		1997-03-20				01				2021-03-25	D	D							D					D	D	D					D							
Sørkedalen skole. Hovedbygning. Bygg A	Sørkedalen skole	BS	Brannslanger												3/4tomme				02								X				25	002999932953	Bør bytte tilførselsslange		2022-09-21			Sløyen		2011-11-02				08				2021-09-21	X	X							X					X	X	X					X							
Teglverket flerbrukshall	Teglverket flerbrukshall	BS	Brannslanger												3/4tomme				02								X				30	002999946634			2022-04-09			Korridor V tilsynsvakt		2014-04-02				05				2021-04-09	X	X							X					X	X	X					X							
Teglverket skole	Teglverket skole	BS	Brannslanger												3/4tomme				04								X				30	002999959519	Lekker i trommel		2022-04-09			Pluss avd Korridor V HF		2014-09-10				08				2021-04-09	X	X							X					X	X	X					X							
Tonsenhagen skole. Bygg A	Tonsenhagen skole	BS	Brannslanger												3/4tomme												X				25	002999937749			2022-08-25			BYGG A 0203 toalett ved skolehelsetjenesten		2000-04-20								2021-08-25	X	X							X					X	X	X					X							
Tonsenhagen skole. Bygg D	Tonsenhagen skole	BS	Brannslanger												3/4tomme												X				30	002999937758			2022-08-25			BYGG D 0301 teknisk rom		2013-04-17								2021-08-25	X	X							X					X	X	X					X							
Tonsenhagen skole. Bygg E	Tonsenhagen skole	BS	Brannslanger												3/4tomme												X				30	002999937739			2022-08-25			BYGG E 0203 korridor ved nødutgang		2013-04-20								2021-08-25	X	X							X					X	X	X					X							
Tonsenhagen skole. Utebod/skur	Tonsenhagen skole	BS	Brannslanger												3/4tomme												X				25	002999937764			2022-08-25			BYGG C 0203 korridor ved sløydsal		2000-04-20								2021-08-25	X	X							X					X	X	X					X							
Toppåsen skole. Adm/bygg C	Toppåsen skole	BS	Brannslanger												3/4tomme				02								X				30	002999929010			2022-09-28			korridor v tilfluktsrom		2018-09-10				05				2021-09-28	X	X							X					X	X	X					X							
Toppåsen skole. Aktivitetsskole. Bygg F	Toppåsen skole	BS	Brannslanger												3/4tomme				01								X				25	002999928976			2022-09-15			Sfo v inngang		1987-09-09				06				2021-09-15	X	X							X					X	X	X					X							
Toppåsen skole. Klasseromsfløy B	Toppåsen skole	BS	Brannslanger												3/4tomme				01								D				25	002999928987	Må skiftes		2022-09-15			korridor v grupperom		1987-09-09				01				2021-09-15	D	D							D					D	D	D					D							
Toppåsen skole. Klasseromsfløy E	Toppåsen skole	BS	Brannslanger												3/4tomme				01								X				25	002999928984			2022-09-15			korridor v inngang e3		1987-09-09				08				2021-09-15	X	X							X					X	X	X					X							
Toppåsen skole. Klasseromsfløy G	Toppåsen skole	BS	Brannslanger												3/4tomme				02								X				25	002999928995			2022-09-15			korridor v klasserom		1987-09-09				01				2021-09-15	X	X							X					X	X	X					X							
Trosterud skole. Admin. bygning	Trosterud skole	BS	Brannslanger												3/4tomme												X				25	003009928937			2022-04-23			02 Bøttekott		2000-03-25								2021-04-23	X	X							X					X	X	X					X							
Trosterud skole. Fritidshjemmet	Trosterud skole	BS	Brannslanger												3/4tomme												X				25	002999962572			2022-04-23			SFO		2020-09-21								2021-04-23	X	X							X					X	X	X					X							
Trosterud skole. Helsebygningen	Trosterud skole	BS	Brannslanger												3/4tomme												X				25	002999933152	Ikke mulig å få slange ut av skapet		2022-04-23			01 Ved inngang g		2000-03-25								2021-04-23	X	X							X					X	X	X					X							
Trosterud skole. Klasseromsbygget	Trosterud skole	BS	Brannslanger												3/4tomme												X				25	003009928933	Stenger ikke (automatventil)		2022-04-23			02 Garderobe 7 klasse		2000-03-25								2021-04-23	X	X							X					X	X	X					X							
Trosterud skole. Spesialbygg	Trosterud skole	BS	Brannslanger												3/4tomme												X				25	003009928940			2022-04-23			02 Garderobe		2000-03-25								2021-04-23	X	X							X					X	X	X					X							
Tveita skole	Tveita skole	BS	Brannslanger												3/4tomme				02								X				30	783250195121			2022-11-08			Salen blokk F		2020-11-08				09				2021-11-08	X	X							X					X	X	X					X							
Tveita skole. Paviljong	Tveita skole	BS	Brannslanger												3/4tomme				01								X				25	000999905782			2022-11-08			Ved hc wc 305 paviljong		2016-11-11				03				2021-11-08	X	X							X					X	X	X					X							
Tåsen skole. Bygg 4	Tåsen skole	BS	Brannslanger												3/4tomme				B4								X				30	002999940920	Mangler plogskilt over trommel		2022-05-07			B3 Korridor ved 3307		2009-03-16				0				2021-05-07	X	X							X					X	X	X					X							
Ullevål skole. Hovedbygning	Ullevål skole	BS	Brannslanger												3/4tomme												X				25	500000007943	SKILTES..		2022-03-04			U KORRIDOR VED TEKNISKROM		2016-04-03								2021-03-25	X	X							X					X	X	X					X							
Uranienborg skole. Bygg 1	Uranienborg skole	BS	Brannslanger												1tomme												X				25	002999922765			2022-11-16			03 TRAPP VED HEIS		2000-11-21								2021-11-16	X	X							X					X	X	X					X							
Uranienborg skole. Bygg 2 (Adm.)	Uranienborg skole	BS	Brannslanger												3/4tomme												X				25	002999922782			2022-11-16			U KORRIDOR VED TOALETT		2017-11-21								2021-11-16	X	X							X					X	X	X					X							
Uranienborg skole. Bygg 3	Uranienborg skole	BS	Brannslanger												3/4tomme												X				25	002999922786			2022-11-16			04 TEKNISK ROM		2017-11-21								2021-11-16	X	X							X					X	X	X					X							
Uranienborg skole. Bygg 4 (tidligere AKS)	Uranienborg skole	BS	Brannslanger												3/4tomme												X				25	500000038050			2022-11-16			U KORRIDOR VED 01031		2019-09-28								2021-11-16	X	X							X					X	X	X					X							
Vahl skole. Gamle gymsal	Vahl skole	BS	Brannslanger												3/4tomme												X				25	003009929036			2022-05-28			02 Korridor ved rom 210		2007-04-02								2021-05-28	X	X							X					X	X	X					X							
Vahl skole. Gymsal. (Bygg 2)	Vahl skole	BS	Brannslanger												3/4tomme												X				25	003009929040			2022-05-28			01 Gymsal		1997-04-02								2021-05-28	X	X							X					X	X	X					X							
Vahl skole. Hovedbygning. (Bygg1)	Vahl skole	BS	Brannslanger												3/4tomme												X				25	003009929013	Lekkasje fra nav		2022-05-28			04 Korridor vest		2020-04-23								2021-05-28	X	X							X					X	X	X					X							
Vinderen skole. AKS	Vinderen skole	BS	Brannslanger												3/4tomme												X				25	002999933662			2022-11-25			02 VED NØDUTGANG		1996-11-26								2021-11-25	X	X							X					X	X	X					X							
Vinderen skole. Byggetrinn 2	Vinderen skole	BS	Brannslanger												3/4tomme												X				25	002999933659			2022-11-30			02 Skolekjøkken ved vask bygg A		2016-11-20								2021-11-30	X	X							X					X	X	X					X							
Vinderen skole. Hovedbygning (Byggetrinn 1-3)	Vinderen skole	BS	Brannslanger												3/4tomme												X				25	002999959838			2022-11-25			U VED INNGANG A		2009-09-07								2021-11-25	X	X							X					X	X	X					X							
Voksentoppen skole. Spesialskole	Voksentoppen skole	BS	Brannslanger												1tomme				02								X				25	002999949118			2022-09-06			Trapp V heis		2002-04-27				05				2021-09-06	X	X							X					X	X	X					X							
Øraker skole. Hovedbygg	Øraker skole	BS	Brannslanger												3/4tomme												X				25	804930857976	Gammel trommel må byttes.		2022-11-19			U KORRIDOR VED TILFLUKTSROM 2		2014-12-16								2021-11-19	X	X							X					X	X	X					X							
Østensjø skole. Bygg 1	Østensjø skole	BS	Brannslanger												3/4tomme				03								X				25	002999931201			2022-10-12			trappegang v/aktivitesskolen inngang B I garderobe		1995-12-09				07				2021-10-12	X	X							X					X	X	X					X							
Østensjø skole. Bygg 2	Østensjø skole	BS	Brannslanger												3/4tomme				03								X				25	002999931210			2022-10-12			trappegang		1995-12-09				06				2021-10-12	X	X							X					X	X	X					X							
Østensjø skole. Bygg 4	Østensjø skole	BS	Brannslanger												3/4tomme				Kj								X				30	002999931214			2022-10-12			korridor v/gymsal		2011-12-10				03				2021-10-12	X	X							X					X	X	X					X							
Årvoll skole. Bygg A, B, D, E	Årvoll skole	BS	Brannslanger												3/4tomme												X				25	804930192367	Strålerør må skiftes		2022-11-30			02 Skolekjøkken 2 ved vask bygg A		2016-11-20								2021-11-30	X	X							X					X	X	X					X							
Årvoll skole. Sløydpaviljong C	Årvoll skole	BS	Brannslanger												3/4tomme												X				25	804930192343			2022-11-26			01 Hovedinngang		2017-11-20								2021-11-26	X	X							X					X	X	X					X							
Årvoll skole. Superkube	Årvoll skole	BS	Brannslanger												3/4tomme												X				25	804930217510			2022-11-26			02 Korridor ved ventilasjonsrom		2013-11-20								2021-11-26	X	X							X					X	X	X					X							
Abildsø skole. Betongen. Bygg nr. 1	Abildsø skole	HS	Håndslukker																02									6 kg				804930128410	Godt ut på dato må byttes.		2021-04-19			vekstrom v/201		2020-04-22				05				2021-04-19			B/BE															PU				B						
Abildsø skole. Klokkebygget. Bygg nr. 2	Abildsø skole	HS	Håndslukker																02									6 liter				002999940779	Fjernet		2021-04-19			Sløyd 2-107		2020-04-22				03				2021-04-19			AB															SK				D						
Abildsø skole. Skipet. Bygg nr. 4	Abildsø skole	HS	Håndslukker																01									5 kg				002999940795	Må henges opp.		2021-04-19			vaktmester		2020-04-22				04				2021-04-19			B/BE															CO2				B						
Abildsø skole. S-klassen. Bygg nr. 6	Abildsø skole	HS	Håndslukker																01									5 kg				002999940773			2021-04-19			personalrom 6-124		2016-01-01				06				2021-04-19			B/BE															CO2				A						
Abildsø skole. U-blokka. Bygg nr. 3	Abildsø skole	HS	Håndslukker																01									5 kg				002999940789			2021-04-19			teatersalen v/scene		2020-04-22				02				2021-04-19			B/BE															CO2				A						
Bekkelaget skole. Bernhus	Bekkelaget skole	HS	Håndslukker																02									6 kg				002999955564			2021-11-02			Inngang		2016-07-28				01				2021-11-02			ABC/ABE															PU				A						
Bekkelaget skole. Bygg A	Bekkelaget skole	HS	Håndslukker																03									6 kg				804930127734	Trenger service / byttes 10+10		2021-11-02			Personalrom		2015-07-28				02				2021-11-02			B/BE															PU				B						
Bekkelaget skole. Bygg B	Bekkelaget skole	HS	Håndslukker																05									6 kg				804930127888	Må ha service / byttes 10+10		2021-11-02			Ventilasjon V heismaskinrom		2013-07-28				03				2021-11-02			B/BE															PU				B						
